Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,433,386,484,588,2324,255,3858,0.0
jmeter_view_issue,18200,153,152,179,191,233,101,3112,0.0
jmeter_view_dashboard,5079,224,231,296,323,374,123,1117,0.0
jmeter_search_jql,5502,446,446,523,550,617,302,3870,0.0
jmeter_view_backlog,2539,729,717,794,817,893,637,2861,0.0
jmeter_open_quick_create,1693,77,76,88,94,123,60,723,0.0
jmeter_create_issue,1693,186,185,239,255,298,130,789,0.0
jmeter_view_project_summary,1693,189,184,231,249,316,111,526,0.0
jmeter_open_editor,1693,78,77,92,96,111,55,702,0.0
jmeter_save_edit,1692,271,270,331,362,490,150,892,0.0
jmeter_browse_projects,1692,48,47,54,59,73,36,171,0.0
jmeter_view_kanban_board,1269,625,612,839,911,967,320,3966,0.0
jmeter_view_scrum_board,1269,141,136,181,196,216,84,432,0.0
jmeter_open_comment,847,64,63,76,81,99,45,614,0.0
jmeter_save_comment,847,132,130,163,173,203,93,436,0.0
jmeter_browse_boards,846,71,70,83,87,105,56,212,0.0
selenium_login:open_login_page,265,120,106,116,120,132,95,3421,0.0
selenium_login:login_and_view_dashboard,265,522,508,537,545,581,425,3217,0.0
selenium_login,265,642,614,648,655,704,532,6639,0.0
selenium_browse_projects_list,265,338,332,366,386,414,291,890,0.0
selenium_browse_boards_list,265,296,271,299,308,768,246,3602,0.0
selenium_create_issue:open_quick_create,265,749,747,810,832,882,638,2651,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,265,619,609,616,619,625,598,3171,0.0
selenium_create_issue:fill_and_submit_issue_form,265,1179,1167,1220,1230,1271,1040,4301,0.0
selenium_create_issue,265,1928,1915,1995,2024,2121,1684,6952,0.0
selenium_edit_issue:open_edit_issue_form,265,649,651,715,740,771,494,1400,0.0
selenium_edit_issue:save_edit_issue_form,265,592,579,648,688,747,503,818,0.0
selenium_edit_issue,265,1552,1534,1639,1661,1768,1430,2586,0.0
selenium_save_comment:open_comment_form,265,369,368,414,427,455,214,481,0.0
selenium_save_comment:submit_form,265,765,756,821,840,919,637,2200,0.0
selenium_save_comment,265,1305,1298,1374,1389,1600,1113,3199,0.0
selenium_search_jql,265,838,651,1134,1148,1169,512,2468,0.0
selenium_view_scrum_board_backlog,265,384,369,393,400,579,337,3178,0.0
selenium_view_scrum_board,265,362,349,374,385,560,284,2833,0.0
selenium_view_kanban_board,265,803,753,779,790,819,329,13491,0.0
selenium_view_dashboard,265,230,227,244,249,267,202,795,0.0
selenium_view_issue,265,611,601,657,674,715,473,1842,0.0
selenium_project_summary,265,429,412,467,485,532,353,2453,0.0
selenium_log_out,265,384,383,411,417,446,331,460,0.0
