Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,523,458,622,715,2485,317,3799,0.0
jmeter_view_issue,18197,170,167,202,214,265,114,2350,0.0
jmeter_view_dashboard,5077,306,302,370,395,457,212,1489,0.0
jmeter_view_backlog,2538,394,383,459,486,560,295,2415,0.0
jmeter_search_jql,5500,538,526,629,667,744,399,5473,0.0
jmeter_open_quick_create,1693,80,77,92,99,124,61,3095,0.0
jmeter_create_issue,1693,250,248,326,354,434,140,1451,0.0
jmeter_view_kanban_board,1269,940,906,1173,1214,1318,532,14806,0.0
jmeter_view_scrum_board,1269,171,160,222,245,275,87,405,0.0
jmeter_view_project_summary,1692,242,227,296,354,436,146,836,0.0
jmeter_open_editor,1692,94,92,113,120,136,65,872,0.0
jmeter_open_comment,846,81,74,100,108,137,54,1283,0.0
jmeter_save_comment,846,151,141,192,225,268,102,693,0.0
jmeter_save_edit,1692,305,296,373,409,513,170,1722,0.0
jmeter_browse_projects,1692,65,64,76,82,101,46,333,0.0
jmeter_browse_boards,846,86,79,105,113,137,65,285,0.0
selenium_login:open_login_page,220,117,108,118,122,132,98,1598,0.0
selenium_login:login_and_view_dashboard,220,581,575,632,657,689,472,3326,0.0
selenium_login,220,699,685,748,768,799,582,4926,0.0
selenium_browse_projects_list,220,353,349,375,381,395,312,753,0.0
selenium_browse_boards_list,220,301,284,305,314,668,264,2518,0.0
selenium_create_issue:open_quick_create,220,738,742,801,819,849,634,1139,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,220,612,609,617,620,635,600,1125,0.0
selenium_create_issue:fill_and_submit_issue_form,220,1167,1166,1212,1224,1303,1055,1726,0.0
selenium_create_issue,220,1905,1908,1989,2016,2111,1690,2866,0.0
selenium_edit_issue:open_edit_issue_form,220,645,654,708,721,753,434,1147,0.0
selenium_edit_issue:save_edit_issue_form,220,681,676,730,743,772,533,927,0.0
selenium_edit_issue,220,1645,1641,1714,1743,1781,1499,2317,0.0
selenium_save_comment:open_comment_form,220,341,334,387,402,426,253,491,0.0
selenium_save_comment:submit_form,220,759,734,808,833,1527,636,3252,0.0
selenium_save_comment,220,1248,1219,1304,1334,2046,1095,3733,0.0
selenium_search_jql,220,1229,1223,1286,1302,1332,1099,2626,0.0
selenium_view_scrum_board_backlog,220,710,636,1262,1301,1393,448,2849,0.0
selenium_view_scrum_board,220,693,464,1092,1124,1187,314,2609,0.0
selenium_view_kanban_board,220,1312,1286,1663,1828,1931,750,2374,0.0
selenium_view_dashboard,220,658,659,869,907,1028,305,1061,0.0
selenium_view_issue,220,611,606,667,694,719,475,1709,0.0
selenium_project_summary,220,466,458,547,567,618,328,2168,0.0
selenium_log_out,220,356,350,396,410,425,300,485,0.0
